VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT, FULL GPU ATOMIC
15100,8736,270672,230298,20809,119874,7761
15200,8431,206779,233378,25488,128336,6818
15300,8678,203817,236619,20979,122935,7246
15400,8402,245522,254668,23576,127981,7088
15500,8549,246952,259444,23792,126920,7143
15600,8455,249073,256046,22648,115005,7131
15700,8475,225203,230222,20951,120997,6944
15800,8287,210237,246406,21221,121544,7144
15900,8871,233506,235101,21607,135105,7416
16000,8900,305036,235896,21976,116668,7355
16100,8939,219961,240522,25204,125002,7725
16200,9420,226146,239226,22024,121262,7829
16300,8947,260032,248074,23734,126220,7955
16400,8571,260760,264797,23898,122258,7263
16500,8573,262915,262834,22131,113100,7246
16600,8598,237716,255159,23901,127340,7129
16700,8646,265686,264002,23988,122486,7313
16800,8516,275577,244659,21209,121184,7283
16900,9225,303700,265757,22300,113234,7916
17000,8555,230815,238739,21721,120694,7276
17100,8681,278391,255828,21451,113851,7457
17200,8580,229365,249842,21285,124795,7279
17300,9222,277904,240395,21204,116790,7897
17400,8425,231888,284895,25526,117734,7212
17500,8547,233228,254059,21939,120521,7255
17600,8446,235262,246316,21807,128646,7383
17700,8793,316953,241222,21877,116888,7789
17800,8474,237253,250611,21320,116139,7378
17900,8488,238999,255984,21442,120839,7401
18000,8570,286276,255331,21465,118002,7476
18100,8536,241143,253134,22114,123270,7332
18200,8893,278600,699952,32111,148867,7712
18300,8553,247459,246591,21963,126717,7387
18400,8725,329513,266863,21560,117560,7607
18500,9208,247200,251679,21324,133146,8171
18600,8445,248330,284238,21924,136492,7547
18700,11013,256368,280912,25610,129652,7696
18800,8448,251669,256578,21670,118558,7508
18900,8515,252466,262467,21866,130862,7523
19000,8557,302224,254794,21577,116752,7635
19100,9661,322725,245571,22312,132548,8689
19200,8785,339189,256139,21622,127738,7826
19300,9168,356749,264722,22298,116344,8179
19400,8792,262914,259885,21579,120465,8081
19500,9063,278691,256262,22009,123692,10325
19600,8561,293831,248756,22035,122504,7798
19700,8831,334970,252019,23117,112295,8154
19800,8499,282752,262956,23016,115087,7636
19900,8520,285016,253009,22263,124050,7699
20000,8410,267209,251477,21786,117377,7769
20100,8464,267913,254888,22512,117049,7708
20200,9124,297588,255790,23421,122287,8409
20300,8579,299108,257877,21851,117423,7797
20400,9058,276908,259105,24373,128260,8436
20500,8616,361866,259657,21768,131388,8021
20600,9613,310998,257929,22033,116896,8798
20700,8587,320963,266035,23253,120027,7991
20800,8763,278784,263787,21856,132364,8174
20900,8843,420878,250587,22320,124683,8650
21000,8610,280655,266403,23218,113471,7885
21100,8566,295615,268688,23078,114394,7944
21200,9187,305415,265404,22995,117793,8687
21300,8572,301278,268412,23011,120442,7937
21400,8812,286307,256012,21970,133521,8113
21500,8664,360338,271912,22136,127350,8253
21600,9176,315168,264566,24640,116474,8475
21700,9179,348584,255074,22342,116431,8145
21800,8531,290244,264870,23238,112358,8077
21900,8551,291539,258201,22568,116454,8192
22000,9346,294840,249367,22071,144009,8377
22100,8792,399074,268732,23808,118122,8488
22200,8651,317883,270560,23387,113489,8083
22300,8603,316225,263944,22757,119115,8448
22400,8729,298555,263246,23058,120762,8864
22500,8506,322894,264301,23451,116353,8177
22600,9129,324830,271725,23602,123612,8964
22700,8464,343461,264462,22145,126021,8455
22800,8577,306463,263799,23364,115764,8452
22900,9017,325442,262481,22301,116514,9013
23000,8697,306593,280114,23026,122185,8242
23100,8661,309449,268460,22263,119389,8312
23200,8537,327032,274745,22819,120551,8274
23300,8657,310096,262338,22525,123113,8368
23400,8583,311528,269108,23013,118017,8345
23500,9093,313417,269509,22541,134653,8386
23600,8761,421909,269055,23649,115283,8607
23700,9120,336058,276046,23097,119041,9196
23800,8656,316956,277260,23343,122091,8473
23900,9100,318925,276501,23731,114449,10685
24000,8611,341554,276650,22387,119400,8606
24100,8576,335719,281929,25493,130193,8775
24200,9607,376544,265743,22718,132063,9534
24300,10059,340251,263836,23277,125148,9735
24400,8691,348520,273542,25766,130398,8459
24500,9712,368069,267737,23349,119046,9490
24600,8587,328567,283245,22749,114417,8592
24700,8670,328740,280134,23126,117251,8696
24800,8583,330320,284609,23535,118149,8706
24900,8651,333917,283473,24387,116408,8591
25000,8709,355329,270194,24445,116350,8641
25100,8704,415528,276397,22573,116265,8692
25200,8738,336416,278412,22934,132945,8666
25300,8897,422346,264999,23256,118910,8933
25400,8642,338240,290711,24840,124890,8634
25500,8584,339768,287657,22713,136303,8674
25600,9617,413157,264714,24288,118080,9345
25700,8841,350463,278583,23511,118614,9005
25800,9125,344613,286120,23799,122762,9437
25900,9724,349937,287244,25708,119735,9625
26000,9138,347653,274261,22972,125363,9513
26100,8992,350377,270248,26126,119914,9011
26200,8911,351561,274894,22991,122555,9006
26300,9136,352183,274817,23076,118183,9499
26400,9195,352588,276233,23090,121332,9543
26500,9018,355136,276967,24012,123556,9046
26600,9170,362837,280239,25844,121530,9239
26700,8637,387040,291345,25184,119081,9049
26800,8702,357410,275840,23177,119107,9039
26900,8710,382083,292250,24302,120215,9075
27000,8765,379029,288900,23237,138426,8996
27100,9007,479715,278057,23181,123139,9287
27200,8556,403620,291494,24655,124973,9142
27300,8702,366895,301953,24304,120043,9232
27400,10176,384421,298389,23750,119123,9042
27500,9137,367686,304271,23641,118393,9658
27600,8800,431363,289733,25773,116584,9044
27700,8720,369999,286332,23649,118932,9110
27800,8624,370736,294824,23901,125575,9245
27900,9110,474027,278920,23500,117453,9638
28000,8579,428934,284011,25009,114850,9191
28100,8712,374942,281077,23735,126422,9295
28200,8988,482469,292079,24170,118287,9565
28300,8604,379853,292336,24098,116234,9386
28400,9094,388114,288327,24502,115969,9516
28500,9181,435038,277905,26979,121192,9983
28600,8721,381782,291139,26345,130999,9255
28700,8747,432621,278249,23757,124620,9455
28800,8875,440200,285774,25743,121626,9404
28900,8640,390170,295333,26524,119393,9469
29000,8837,386916,299604,26830,126588,9878
29100,8705,426628,290252,23443,119594,9517
29200,8736,389341,296308,24088,119871,9391
29300,8779,438545,296065,24287,119058,9481
29400,8745,392627,301043,23591,121568,9423
29500,9073,407274,294957,25144,120777,9797
29600,8713,418060,282079,23637,124112,9599
29700,8777,397394,295807,26294,121428,9531
29800,8731,396886,299106,26366,118928,9583
29900,8882,398107,289034,23785,125722,9618
30000,8760,399446,291252,26109,123400,9561
30100,9163,447391,289221,28531,121374,10077
30200,9038,486694,292441,24887,120489,9695
30300,9332,405638,300829,24237,122340,10265
30400,8838,455147,286214,24605,121545,9525
30500,8883,416808,294065,24305,121834,9693
30600,8741,408695,295219,23809,122170,9665
30700,9175,415181,285911,23798,123195,10234
30800,8887,413494,296152,25012,122020,9760
30900,9322,420250,287682,26902,122894,10481
31000,9463,416230,296912,26593,119251,10614
31100,8833,414265,301842,23850,131828,9811
31200,8845,467677,289507,23993,120286,10198
31300,8798,416810,292796,24973,124624,9845
31400,8826,432996,294432,24325,129590,9662
31500,9022,486394,285472,27365,124185,10136
31600,8811,421813,301863,25317,118487,9765
31700,8822,422922,302753,24631,119551,9760
31800,8861,425229,305854,23920,120670,9831
31900,8785,425187,292285,24573,119204,10442
32000,8854,426795,301490,27137,118445,10068
32100,8837,454428,302954,23854,126480,9962
32200,8745,428940,299163,25056,122161,10176
32300,8803,499637,293431,24103,120654,10506
32400,9312,488976,291618,23959,120933,10257
32500,8899,507756,304109,24080,123247,9986
32600,8802,434268,332395,25161,123138,9933
32700,8875,443855,310203,25655,123100,9959
32800,9210,439530,297411,24229,125879,10690
32900,8871,438185,307370,27293,118137,10240
33000,9028,439629,304937,24274,119024,10335
33100,9449,442964,311605,25401,118414,10821
33200,8903,447140,304093,24625,119631,10117
33300,8919,444241,298331,24668,124102,11875
33400,8905,452473,295036,24773,124615,10103
33500,8999,451849,304054,25133,124216,10135
33600,9018,456834,306844,25011,120322,10219
33700,8991,494255,299741,27388,120523,11834
33800,8816,459537,303910,26821,122353,10479
33900,8917,454234,313432,26492,122834,10237
