VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
100,13283,1710,71516,5708,67968
200,25480,2714,68942,7228,82592
300,16879,3955,99403,10238,90429
400,25857,5253,83097,11049,100538
500,39177,6539,87988,11288,99528
600,26311,8424,95311,13214,104502
700,20735,9145,99360,16367,106705
800,26353,10439,95501,16212,105269
900,31871,13012,101961,18309,111007
1000,39608,14796,107219,19350,108136
1100,41380,15396,106602,19278,111111
1200,41303,15634,115014,20929,117215
1300,41343,16927,117522,24373,135485
1400,41714,24533,121453,20293,114621
1500,41648,19735,112078,19041,121657
1600,42210,24167,115512,19223,115954
1700,41187,26467,128476,21844,119358
1800,41507,24794,117589,18882,117199
1900,41499,26564,123081,21724,113595
2000,41679,25731,122636,18887,111857
2100,41751,27330,126837,20035,118870
2200,41636,35511,137680,23646,123799
2300,42038,29967,123774,19443,117276
2400,41706,33657,122818,20379,110337
2500,41581,32219,130119,22428,114795
2600,41735,34010,148555,24687,132334
2700,41523,37846,124755,20349,114136
2800,41369,39541,123569,20375,109939
2900,41675,40638,125886,20101,110348
3000,42298,42390,126442,20508,110562
3100,42189,40474,134480,19205,111809
3200,42493,42090,135896,19621,111058
3300,42188,42751,148527,20783,112228
3400,41826,43619,137762,19149,112954
3500,41891,44845,147443,20682,116948
3600,41865,54514,148545,21856,120699
3700,41528,48618,143063,20561,113222
3800,41990,54956,140192,20728,111782
3900,42274,56326,139564,20873,111727
4000,41879,52312,142430,20419,110369
4100,42048,53718,145788,19736,111589
4200,42212,59058,147024,19675,119110
4300,42015,56695,169298,20094,126421
4400,42468,59634,171831,19700,117580
4500,42147,62222,147856,20271,111851
4600,42274,61642,163283,20534,116560
4700,42224,61947,153769,21578,123959
4800,42167,70315,151515,19717,123934
4900,42425,71679,151222,20917,128898
5000,42315,73262,156496,20910,117980
5100,42745,74675,152604,21051,116499
5200,42417,70238,157274,25021,143855
5300,42482,77213,171406,19841,134946
5400,42610,96552,198888,24487,141572
5500,43507,98784,178538,21615,116409
5600,43005,80278,154851,19964,124698
5700,42252,81361,152666,21033,113534
5800,42741,82797,147616,20181,121683
5900,42850,77205,162216,20491,120432
6000,42321,79578,177942,28441,138838
6100,42497,109165,194434,22379,126131
6200,42546,98799,172859,22885,123854
6300,42364,99857,173676,22825,120195
6400,42303,85301,161717,20025,133564
6500,42262,90925,172974,19702,120950
6600,42808,87876,170149,22498,123484
6700,42534,106226,181175,22865,121412
6800,42336,107835,178877,21103,109033
6900,42427,91410,162393,20302,118268
7000,42853,92948,204287,24814,148392
7100,42691,126742,207003,25162,139673
7200,42848,128334,200254,25203,135943
7300,42630,104043,162964,21287,113114
7400,42878,97286,170548,21101,122300
7500,43210,99546,180371,25522,134861
7600,42761,121959,184454,23113,120705
7700,42442,110093,167243,21086,111981
7800,45474,102566,169419,22514,117154
7900,42923,118657,174412,24570,117302
8000,42602,108113,178417,22980,125361
8100,42910,128403,192637,22957,129331
8200,42877,129974,189584,23337,125223
8300,42700,118285,171778,21468,120122
8400,43376,119845,174341,21419,113883
8500,42551,113126,208976,25130,143278
8600,43005,153331,213989,22438,117230
8700,42833,115357,184117,21486,116678
8800,42672,119987,177565,21349,114313
8900,42788,120788,187791,21313,137897
9000,44040,160988,218306,25534,122647
9100,42708,129774,176159,21443,114847
9200,42856,131161,174882,21340,113102
9300,43498,133204,176621,21472,117824
9400,43363,124876,184858,21187,123333
9500,43195,126447,179517,21845,113658
9600,42716,137171,179769,21454,116518
9700,42923,139848,178387,21492,122212
9800,43081,139923,179193,21488,113232
9900,42779,141210,181548,21420,125071
10000,42909,142677,182523,21220,113823
10100,42806,143962,179906,21240,112691
10200,42934,134184,193019,21282,119197
10300,42962,136860,183915,21514,116096
10400,42889,140238,192200,23376,120532
10500,43500,149808,183555,21817,123257
10600,42947,141906,189147,25203,140964
10700,43394,148972,215876,24438,134821
10800,44056,182251,219098,23061,116524
10900,42834,144990,190978,20780,118107
11000,43065,147680,192777,20691,120758
11100,43236,177972,201216,26284,125077
11200,43118,159807,190929,21794,115004
11300,43104,164910,185231,22057,114052
11400,43086,151597,195309,22800,115951
11500,43136,150872,201630,21741,116178
11600,43086,152172,195148,21362,133689
11700,43661,208597,244237,25232,115698
11800,43159,156722,234750,26085,130030
11900,43003,156879,193948,21228,122578
12000,43238,163010,228082,23354,127771
12100,43446,203362,228300,24876,116070
12200,43215,162128,196265,21008,130230
12300,43276,194987,215874,23712,120795
12400,43013,163652,204835,20745,117311
12500,43233,166081,216243,26176,135426
12600,44099,180380,196680,22081,117867
12700,43512,201411,219350,24229,122184
12800,43360,202864,215565,24192,118400
12900,43257,171134,199253,22310,117414
13000,43397,172445,199750,22127,112284
13100,43535,171940,207579,21226,120972
13200,43655,188471,201852,22046,111456
13300,43402,190179,197767,22211,110421
13400,43452,176261,212956,21333,120572
13500,43514,176530,206211,21369,113558
13600,43736,180950,233509,24807,119278
13700,43693,179051,210501,21510,115564
13800,43772,218926,224673,24035,117720
13900,43480,182381,212112,26635,116780
14000,43383,186248,204729,22311,113698
14100,43774,206182,218158,22487,115162
14200,43574,207998,209513,21904,119918
14300,43711,192821,216005,22693,117980
14400,43650,191383,212550,21595,114927
14500,44146,191762,208701,21793,115789
14600,43990,190503,216257,26553,119979
14700,43869,234428,218381,21442,120425
14800,43784,194158,215448,21294,115512
14900,44328,213350,211521,21396,144634
15000,43929,259629,220121,21722,121139
15100,43808,201599,215844,22052,118274
15200,43938,201671,222408,24708,126406
15300,44283,203431,206667,22136,118423
15400,43986,204504,247956,26903,142438
15500,44194,276731,220066,22354,114546
15600,43817,206985,219742,21925,112062
15700,43863,208252,222803,23167,119398
15800,43930,212905,228264,22209,119079
15900,43871,209442,215487,21884,115962
16000,43774,211135,218639,22488,118131
16100,43990,229763,222366,21338,136248
16200,44364,288536,223172,22292,116034
16300,44575,222052,249927,26655,138993
16400,44272,282837,221747,21446,128887
16500,44149,269010,231838,22006,126889
16600,44262,289696,238304,23312,114242
16700,44115,220198,262059,24417,127050
16800,44235,266553,228173,21390,133585
16900,44455,301485,238329,24499,123176
17000,44261,271379,231022,25598,125219
17100,44324,267351,232422,22509,116641
17200,44140,232104,237545,21864,129015
17300,44579,302354,242034,25122,127055
17400,44452,247789,241856,22647,113659
17500,44148,229107,233874,24396,128749
17600,44422,274259,233337,23010,115774
17700,44260,234188,240678,21620,118939
17800,44230,241861,236117,24006,117622
17900,44275,237591,223782,22791,116173
18000,44074,249175,239646,23174,113960
