VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
18100,44331,240174,237980,21766,118505
18200,45053,257134,237435,22515,116531
18300,44387,268942,236145,22358,127875
18400,44550,258962,238221,24806,121927
18500,44513,280384,238249,22412,128139
18600,44702,311434,232064,22083,121113
18700,44828,246085,238701,22214,115189
18800,44288,248770,243916,21863,119321
18900,44431,251150,241500,21982,117610
19000,44520,248880,243129,22582,113616
19100,44305,253881,240142,23748,115167
19200,44526,271861,248840,22970,112972
19300,44490,275100,238481,21655,119483
19400,45237,274417,241796,22668,116201
19500,44573,284497,239934,22113,121553
19600,44608,278979,246335,21862,117014
19700,45204,260831,240229,22075,117174
19800,44717,262948,248151,22970,115535
19900,44540,291598,242756,25973,117827
20000,44639,262297,241103,25284,120487
20100,44879,266830,247240,22977,116930
20200,45393,270785,251076,22746,118987
20300,44701,269671,242462,22380,122067
20400,44964,270960,244922,25500,123304
20500,45037,325346,245834,21938,113930
20600,44741,268018,240826,23325,120329
20700,44861,269448,252575,25269,115552
20800,44841,309085,253868,23379,112185
20900,44812,290816,251692,25623,126867
21000,44965,316945,236972,22768,119762
21100,45469,280294,254856,22798,114943
21200,44769,283108,252057,23833,117220
21300,44928,279575,252331,24984,123811
21400,45078,292399,249670,22864,116082
21500,44880,284179,257178,22225,121523
21600,44828,294074,256442,22360,127069
21700,46133,350314,250024,22728,117407
21800,45596,285585,251282,25715,115447
21900,45102,285603,254238,25050,123703
22000,45120,319090,253138,22699,124045
22100,44874,310537,246584,23084,124008
22200,45249,295866,252479,23593,115952
22300,45085,295118,254240,24020,114370
22400,45112,309534,252995,26074,128720
22500,45310,308311,255580,22826,118237
22600,45194,298660,255694,22686,117012
22700,45214,294942,266464,22978,120028
22800,45353,329736,258480,23940,116467
22900,45162,312774,256687,23363,119809
23000,45327,301022,261153,24064,118942
23100,45198,315081,256305,23270,115392
23200,44927,305013,256194,22781,135294
23300,45707,383218,251829,23378,117813
23400,45233,307900,259525,26044,119993
23500,45259,307763,256753,23410,116724
23600,45790,313969,263817,24421,115131
23700,45252,327747,262208,22946,124167
23800,45551,364154,270543,22530,116709
23900,45670,337991,260928,24546,121671
24000,46148,314964,256230,24293,118628
24100,45310,317781,262478,23376,118113
24200,45393,342654,265942,23409,114582
24300,45948,321023,262924,25682,124862
24400,45581,355779,259121,25705,119001
24500,45420,335147,263454,25981,118942
24600,45761,327049,253375,23094,122151
24700,45356,331622,264747,23630,115301
24800,45652,346681,269124,23896,121545
24900,46267,339749,275556,23787,116962
25000,45618,329230,266919,25806,117251
