VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
17600,8382,251971,241522,21622,113302
17700,10824,272770,254069,22245,120396
17800,8781,251696,245566,22526,110687
17900,8532,253454,252825,22456,115915
18000,8361,254415,240895,22176,115039
18100,8507,257285,255186,22203,113595
18200,8401,256793,248846,21511,116788
18300,8561,240781,250992,22463,119224
18400,8588,316260,254599,22537,115492
18500,9186,262243,256603,21510,135633
18600,9050,329119,259583,21388,135762
18700,8764,260680,262883,21726,114933
18800,8552,248061,258899,24408,125036
18900,8985,299339,268269,21451,141169
19000,9368,275829,254412,21550,116829
19100,8447,250802,297760,22883,114200
19200,8519,272253,246275,22480,112213
19300,8716,274857,265654,22937,116563
19400,8483,274476,271020,21238,118606
19500,10742,282277,252998,22958,120100
19600,9000,283887,289452,23238,114591
19700,8440,278667,253786,22774,113364
19800,8407,268551,262131,21556,119113
19900,8321,261664,301597,25393,135438
20000,8763,372879,259607,22073,121391
20100,8464,264349,249515,21676,114567
20200,8675,308525,257597,21642,121455
20300,8532,287309,265226,22959,115739
20400,8341,268144,292516,23138,113765
20500,8569,289454,266689,22650,112672
20600,8781,293818,257753,22879,115961
20700,9182,280529,265708,22086,116454
20800,8548,272992,264220,24004,119917
20900,8664,311660,259250,23109,119155
21000,8533,279006,274341,22032,134543
21100,8709,353950,253291,22125,113411
21200,8979,367210,262050,23812,118771
21300,8561,351416,271106,22306,115691
21400,8418,287916,269399,23558,117769
21500,8521,282479,265221,22705,117973
21600,8751,313395,266479,22594,119710
21700,8621,288655,268331,22173,119697
21800,9053,346182,257505,22975,119366
21900,8553,295891,262407,22552,120066
22000,8760,291545,278259,23241,115867
22100,8484,328616,261818,22244,117009
22200,8723,292767,265259,22573,119952
22300,8562,346639,256410,22469,123587
22400,8607,297621,255291,24024,123800
22500,8570,326956,265609,22416,119592
22600,8431,296809,265977,22167,116637
22700,8410,315632,263102,23646,115650
22800,8507,328959,260684,23515,127573
22900,8998,398004,270032,22573,123732
23000,8422,302232,275137,23351,118930
23100,9106,305386,307815,24506,123708
23200,8896,420175,277849,22363,117676
23300,8619,321842,270713,22643,121016
23400,9387,326575,267209,22748,126085
23500,8905,401326,279224,23287,113277
23600,8524,309829,272588,23224,120328
23700,8655,314023,269862,25305,124802
23800,9332,367186,287179,23437,113924
23900,9271,338052,264449,23506,117681
24000,8440,315441,269591,26024,131032
24100,9023,377262,268922,22617,116293
24200,8859,320039,262702,23331,115508
24300,8713,386233,276931,25450,130546
24400,9150,422337,271563,23632,118676
24500,8528,321979,271480,23342,124037
24600,8576,326517,287379,23176,116902
24700,8770,327558,277609,22970,128958
24800,9612,330951,268829,22658,121882
24900,8747,329473,281807,22839,117073
25000,9543,411070,276586,23820,113797
