VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
13500,45151,191324,204264,22058,122729
13600,44666,178463,210289,23005,116538
13700,44519,188865,203974,22259,115005
13800,44728,181383,208206,22754,121021
13900,44522,211827,223060,21276,118443
14000,44679,213431,222499,22895,117336
14100,44532,209538,222876,22720,119224
14200,45030,211383,220610,21018,113494
14300,44746,212287,221683,21611,116742
14400,44485,188804,245691,27838,138197
14500,44642,255649,218330,21236,116063
14600,44687,196296,219419,23430,112931
14700,44816,197335,216923,21070,120702
14800,44800,208985,209639,22001,114921
14900,45476,211034,213465,21719,117119
15000,44858,211421,210690,24364,115038
15100,44822,212842,210275,21803,114432
15200,44832,214235,212641,22790,111662
15300,44877,214143,220161,20829,122630
15400,44639,234647,219578,21545,118355
15500,44608,203554,228579,23495,122628
15600,45008,237746,220584,20480,115466
15700,45024,232971,230552,23529,118458
15800,45166,228794,228849,21898,112988
15900,44852,224040,225470,22477,115646
16000,45052,219398,227203,21934,124115
16100,45394,271663,226131,22445,116415
16200,45392,212021,227126,21343,119854
16300,44837,229790,225283,21353,118545
16400,44770,237867,224111,22465,115726
16500,44835,237573,225452,24123,129423
16600,45707,215610,263842,26351,136589
16700,45321,289393,232344,23667,128271
16800,45165,263592,236631,21263,115262
16900,45067,221626,261465,26279,135997
17000,45393,287872,232003,20775,119483
17100,45987,293260,230393,21935,120414
17200,45237,224632,237762,21359,118359
17300,45496,225171,237676,21638,118780
17400,45135,245176,223942,22013,121623
17500,45022,226845,238830,21979,116674
17600,45506,232883,237255,22753,112463
17700,45501,250868,237407,22164,112523
17800,45393,246578,235067,22058,116402
17900,45458,232899,235209,22229,116362
18000,45211,260761,242912,21437,126865
18100,45766,293399,246224,22783,116850
18200,45688,242695,238525,21439,116928
18300,45441,237978,235470,21039,116120
18400,45366,236773,242890,22039,117539
18500,45503,241915,238675,21381,134666
18600,45737,322882,242597,24312,129303
18700,45624,290775,243379,22109,114020
18800,45472,271000,239306,22516,115784
18900,45613,248687,240216,21655,119831
19000,47771,248525,248712,21607,122028
19100,45672,251273,249314,22403,119479
19200,45576,266775,246916,22383,113867
19300,45403,253161,234691,21861,114598
19400,45933,255481,241351,21673,115837
19500,45997,260789,245719,23219,120077
19600,45365,255051,251702,22610,114955
19700,45681,284534,240794,21510,125130
19800,45951,326394,245549,21895,122140
19900,47064,331033,244098,21662,121056
20000,45889,262297,249853,21748,135530
20100,45909,289789,246368,21889,124957
20200,45852,300618,239475,22324,117843
20300,45702,278593,244987,22124,116706
20400,45815,272248,256091,21439,116977
20500,46453,350236,247791,21606,119753
20600,45617,270671,249166,22908,113209
20700,46537,282258,246896,21515,122483
20800,46135,344281,254511,22547,128740
20900,46255,330128,250637,23364,119700
21000,46054,275324,245098,22706,118116
21100,45942,276620,248919,24273,122905
21200,46300,328962,261521,22177,114954
21300,45963,278380,247443,21869,121744
21400,46109,276672,253327,22589,118019
21500,45885,277946,252142,21501,115923
21600,45679,283300,251509,24785,114971
21700,46126,282458,256609,24992,116957
21800,46192,279294,259833,23309,116832
21900,46168,284242,255586,22262,121218
22000,46043,295294,258913,22721,119075
22100,46206,289426,256666,22531,131224
22200,46279,360244,253670,22442,135517
22300,49243,362411,260689,23593,118138
22400,46280,320464,251913,25206,120106
22500,46176,294954,256679,23131,119991
22600,45757,296920,262950,22371,117583
22700,45967,330819,264858,23155,114683
22800,46874,310247,254299,24037,117027
22900,46174,325309,258622,22854,137383
23000,46574,383145,256763,22255,118751
23100,46277,303475,262097,23798,113277
23200,46225,317209,252286,22737,118938
23300,46312,307157,267996,24627,113940
23400,46726,315496,261490,22381,122199
23500,46305,321910,252261,22069,116419
23600,46240,308216,266213,22976,115807
23700,46011,315368,272258,23714,111098
23800,46563,326105,254680,23213,117049
23900,46340,313736,259536,24099,120007
24000,46736,362332,253457,23365,116381
24100,46497,313403,266565,22412,117280
24200,46422,343289,260552,22274,121910
24300,46496,318031,267871,23812,117040
24400,46281,318812,271078,22173,120068
24500,48831,347809,264988,22185,116408
24600,46441,329579,271365,22543,121594
24700,46616,322999,277722,24425,123567
24800,46690,323949,266478,23195,118437
24900,47283,355723,272231,22412,116640
25000,46735,334128,271518,23187,120672
